NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
1988	no	no			N/a
1989	noble	noble			Non-physical
1990	node (part of a plant stem)	node (part of a plant stem)	part of a plant stem from which one or more leaves emerge, often forming a slight swelling		Abstract relations
1991	noise	noise			Natural objects
1992	noisy place	noisy place			N/a
1993	nonsense	nonsense			N/a
1994	noon	noon			Time
1995	normal	normal			Evaluation
1996	North	North			Space
1997	northern fulmar (Fulmarus glacialis)	northern fulmar (Fulmarus glacialis)			N/a
1998	nose	nose			Body parts
1999	nostril	nostril			Body parts
2000	not long	not long			Time
2001	not strong (of liquid or smell)	not strong (of liquid or smell)			Taste
2002	not to do	not to do			N/a
2003	not working	not working			N/a
2004	note book	note book	None		Artifacts
2005	noticeable	noticeable	capable of being seen or noticed		N/a
2006	noun (grammar)	noun (grammar)			N/a
2007	November	November			N/a
2008	novice	novice			N/a
2009	now	now			Time
2010	Nowruz	Nowruz	New Year in the Iranian/Zoroastrian calendar, celebrated on the spring equinox		N/a
2011	nucleus (in physics)	nucleus (in physics)			N/a
2012	number	number	abstract entity used to describe quantity		Non-physical
2013	numerous	numerous			Quantity
2014	nun	nun	member of a Christian religious community of women		N/a
2015	nurse	nurse	person (usually a woman) who takes care of other people’s young		N/a
2016	nurse (junior medical staff)	nurse (junior medical staff)			N/a
2017	nut, hazel	nut, hazel			Plants
2018	nutria, coypu	nutria, coypu	large, crepuscular, semiaquatic rodent (Myocastor coypus) resembling a large rat, having bright orange-yellow incisors, native to South America and introduced to Europe, Asia and North America, valued for its fur in eastern Europe and central Asia and considered a pest elsewhere		N/a
2019	office	&lt;office&gt;			Artifacts
2020	orthopteran	&lt;orthopteran&gt;			Animals
2021	oak	oak	deciduous tree with distinctive deeply lobed leaves, acorns, and notably strong wood, typically of England and northeastern North America, included in genus Quercus.		Plants
2022	oar	oar	type of lever used to propel a boat, having a flat blade at one end and a handle at the other, and pivoted in a rowlock atop the gunwale, whereby a rower seated in the boat and pulling the handle can pass the blade through the water by repeated strokes against the water&#39;s resistance, thus moving the boat		Artifacts
2023	oat	oat	widely cultivated cereal grass, typically Avena sativa		Plants
2024	oath	oath			N/a
2025	obedient	obedient	willing to comply with the commands, orders, or instructions of those in authority		N/a
2026	objection, contradiction	objection, contradiction			N/a
2027	observer	observer			Human being
2028	obstacle	obstacle	something that impedes progress or achievement (Merriam-Webster)		N/a
2029	obstinate	obstinate			Non-physical
2030	ocean	ocean	one of the large bodies of water separating the continents		N/a
2031	ochre	ochre			N/a
2032	October	October	tenth month of the Gregorian calendar, following September and preceding November		N/a
2033	oesophagus	oesophagus	tube that carries food from the pharynx to the stomach		N/a
2034	of high rank	of high rank			Non-physical
2035	of low rank	of low rank	None		Non-physical
2036	official (n.)	official (n.)			N/a
2037	offspring	offspring			N/a
2038	often	often			N/a
2039	oil (food)	oil (food)			Artifacts
2040	oil particle	oil particle			Natural objects
2041	ointment	ointment	(medicine) A viscous preparation of oils and/or fats, usually containing medication, used as a treatment or as an emollient		N/a
2042	OK	OK	expression used to indicate acceptance		Abstract relations
2043	old (vs. new)	old (vs. new)	existing, created a long time ago		Time
2044	old (vs. young)	old (vs. young)	having lived for most of the expected years		Time
2045	old man	old man			Human being
2046	old man/grandfather	old man/grandfather	old man and grandfather		N/a
2047	old woman	old woman			Human being
2048	oleander	oleander			N/a
2049	olive (Olea europaea)	olive (Olea europaea)			N/a
2050	omen	omen			Abstract entities
2051	on all fours	on all fours	on one&#39;s hands and knees		N/a
2052	on the outside	on the outside			Space
2053	one (unit)	one (unit)			Abstract entities
2054	one hundred thousand	one hundred thousand			N/a
2055	one piece (at counting)	one piece (at counting)			Abstract entities
2056	one's own	one&#39;s own			N/a
2057	onion	onion			N/a
2058	only, just	only, just			Abstract entities
2059	open (adj.)	open (adj.)			Other physical
2060	open-eyed	open-eyed	with open eyes		N/a
2061	opening of a sack	opening of a sack			N/a
2062	opening, hole	opening, hole			Natural objects
2063	opinion	opinion			Abstract entities
2064	opossum	opossum			Animals
2065	opportunity	opportunity			Abstract entities
2066	opposite	opposite			Non-physical
2067	orange (plant)	orange (plant)			N/a
2068	orator	orator			N/a
2069	order	order			N/a
2070	ordinary, common	ordinary, common			N/a
2071	oregano	oregano			N/a
2072	organ (anatomy)	organ (anatomy)	larger part of an organism, composed of tissues that perform similar functions		N/a
2073	origin	origin	None		Abstract entities
2074	original	original			N/a
2075	orphan	orphan			N/a
2076	osprey (Pandion haliaёtus)	osprey (Pandion haliaёtus)			N/a
2077	ostrich	ostrich			Animals
2078	other	other			Non-physical
2079	other`s	other`s			Non-physical
2080	otter (Lutra lutra)	otter (Lutra lutra)			Animals
2081	outbuilding	outbuilding			N/a
2082	outwards	outwards			N/a
2083	oven	oven			N/a
2084	overcoat	overcoat			Artifacts
2085	owl	owl			Animals
2086	own (of a relative)	own (of a relative)			Non-physical
2087	owner	owner			Human being
2088	owner (female)	owner (female)			N/a
2089	owre, buffalo (Bubalus bubalis)	owre, buffalo (Bubalus bubalis)			Animals
2090	ox	ox			N/a
2091	person of a different faith	&lt;person of a different faith&gt;			N/a
2092	place name	&lt;place name&gt;			Natural objects
2093	plant (biol.)	&lt;plant (biol.)&gt;			Plants
2094	positive evaluation	&lt;positive evaluation&gt;			N/a
2095	priest	&lt;priest&gt;			N/a
2096	profession	&lt;profession&gt;			Human being
2097	pacemaker (running)	pacemaker (running)			N/a
2098	pack of cards	pack of cards			Artifacts
2099	page	page			Artifacts
2100	pain	pain			Abstract entities
2101	paint, dye (n.)	paint, dye (n.)			Artifacts
2102	pair	pair			N/a
2103	pair of compasses	pair of compasses			Artifacts
2104	palace	palace			Artifacts
2105	palatal (sound)	palatal (sound)			N/a
2106	palate	palate			Body parts
2107	pale	pale			N/a
2108	palm (body part)	palm (body part)			Body parts
2109	palm (tree)	palm (tree)			N/a
2110	palmyra palm	palmyra palm	any palm of the genus Borassus of fan palms		N/a
2111	pancreas	pancreas	gland near the stomach which secretes a fluid into the duodenum to help with food digestion		N/a
2112	pandanus	pandanus	any of various palm-like plants in the genus Pandanus		N/a
2113	paper	paper			Artifacts
2114	papular eruption (on the skin)	papular eruption (on the skin)			N/a
2115	parachute	parachute			N/a
2116	paragraph	paragraph			N/a
2117	paralyzed	paralyzed			Other physical
2118	parents	parents			Human being
2119	parliament	parliament	legislative branch of government, a deliberative assembly or set of assemblies whose elected or appointed members meet to debate the major political issues of the day, make, amend, and repeal laws		N/a
2120	parsley	parsley	biennial herb, Petroselinum crispum		Time
2121	parsnip	parsnip	biennial plant, Pastinaca sativa, with edible roots		N/a
2122	part	part			Abstract entities
2123	participant in the ritual wedding procession	participant in the ritual wedding procession			N/a
2124	partridge	partridge	bird Perdix sp.		N/a
2125	party, soiree	party, soiree			N/a
2126	pass (document allowing admission)	pass (document allowing admission)			N/a
2127	passageway	passageway			Natural objects
2128	passion (in game)	passion (in game)			Abstract entities
2129	passionate about	passionate about			Abstract relations
2130	passionate, zealous	passionate, zealous			Non-physical
2131	password	password	word used to gain admittance or to gain access to information		N/a
2132	patch	patch			Artifacts
2133	patience	patience	quality of being patient		N/a
2134	patron, protector	patron, protector			N/a
2135	paw	paw			Body parts
2136	pawn (in chess)	pawn (in chess)			Artifacts
2137	payment	payment			Abstract entities
2138	pea	pea			Plants
2139	peace	peace			Abstract entities
2140	peach	peach			Plants
2141	peacock	peacock	peafowl, especially Pavo cristatus, notable for its brilliant iridescently ocellated tail		N/a
2142	peak of mountain	peak of mountain			Natural objects
2143	peanut	peanut	legume resembling a nut, the fruit of the plant Arachis hypogaea		N/a
2144	pear	pear			Plants
2145	pearl	pearl	a hard, glistening object produced within the soft tissue (specifically the mantle) of a living shelled mollusk or another animal  (Wikipedia)		N/a
2146	pearl barley	pearl barley	barley that has had the husk and bran removed		N/a
2147	pedestal	pedestal			N/a
2148	pedestrian	pedestrian			N/a
2149	pedestrian crossing	pedestrian crossing			Artifacts
2150	peephole	peephole			Artifacts
2151	peer	peer			N/a
2152	peled	peled	Coregonus peled, species of freshwater whitefish in the family Salmonidae, is native to lakes and rivers of northern Russia. Its range extends from the Mezen River system emptying into the White Sea eastwards to the Kolyma River basin in eastern Siberia		N/a
2153	pelican (Pelecanus)	pelican (Pelecanus)			Animals
2154	pellicle, membrane	pellicle, membrane			N/a
2155	pelvis	pelvis			Body parts
2156	pen (for writing)	pen (for writing)			N/a
2157	pencil	pencil			Artifacts
2158	pendulum	pendulum	a body suspended from a fixed support so that it swings freely back and forth under the influence of gravity, commonly used to regulate various devices such as clocks		Other physical
2159	penis	penis			Body parts
2160	people (pl.)	people (pl.)			N/a
2161	people, nation	people, nation			Human being
2162	pepperwort	pepperwort			N/a
2163	perch (Perca fluviatilis)	perch (Perca fluviatilis)			Animals
2164	perfect person	perfect person			N/a
2165	perfect, complete	perfect, complete			N/a
2166	perfectr, complete	perfectr, complete			N/a
2167	perfume, scent	perfume, scent			Artifacts
2168	pericarp of a lotus	pericarp of a lotus	pericarp of a lotus		N/a
2169	period of time	period of time			Time
2170	permission	permission			N/a
2171	persimmon	persimmon	type of fruit, of orange colour, very sweet, quite astringent when immature (Diospyros kaki )		N/a
2172	persistent	persistent			Non-physical
2173	person (grammar)	person (grammar)	linguistic category used to distinguish between the speaker of an utterance and those to whom or about whom they are speaking		N/a
2174	person of small stature	person of small stature			Human being
2175	petrel (Procellaria)	petrel (Procellaria)			N/a
2176	petroleum, oil	petroleum, oil			Natural objects
2177	phantom, ghost	phantom, ghost			Abstract entities
2178	pharaoh	pharaoh	supreme ruler of ancient Egypt		N/a
2179	pheasant	pheasant	bird of family Phasianidae, often hunted for food		N/a
2180	phosphorus	phosphorus			N/a
2181	photograph	photograph	picture created by projecting an image onto a photosensitive surface such as a chemically treated plate or film		N/a
2182	pickaxe	pickaxe			N/a
2183	picture	picture	representation of anything (as a person, a landscape, a building) upon canvas, paper, or other surface, by drawing, painting, printing, photography, etc.		N/a
2184	piece	piece			N/a
2185	pig (Sus scrofa)	pig (Sus scrofa)			Animals
2186	pigeon (Columba)	pigeon (Columba)			Animals
2187	piglet	piglet	young pig		N/a
2188	pig`s snout	pig`s snout			Body parts
2189	pike (fish)	pike (fish)			N/a
2190	pill, tablet	pill, tablet			N/a
2191	pillar	pillar			N/a
2192	pillow	pillow			N/a
2193	pillowcase	pillowcase	washable, easily removable cloth cover for pillows		N/a
2194	pilot sucker	pilot sucker			Animals
2195	pimple	pimple			Body parts
2196	pincer (of a lobster, crab)	pincer (of a lobster, crab)			Body parts
2197	pine needle	pine needle			N/a
2198	pine-tree	pine-tree			Plants
2199	pineapple	pineapple	tropical plant, Ananas comosus, native to South America, and a fruit of this plant		N/a
2200	pink	pink			N/a
2201	pink salmon (Oncorhynchus gorbuscha)	pink salmon (Oncorhynchus gorbuscha)			N/a
2202	pip (disease of birds)	pip (disease of birds)			Physiology
2203	piper (musician)	piper (musician)	musician who plays a pipe		Natural objects
2204	Pisces	Pisces	constellation of the zodiac		N/a
2205	pit	pit			Artifacts
2206	pitchfork	pitchfork	agricultural tool comprising a fork with sparse, light tines, attached to a long handle, used for pitching hay (especially loose hay) high up onto a stack		N/a
2207	pith, medulla	pith, medulla	soft, spongy substance in the center of the stems of many plants and trees		N/a
2208	place	place			Space
2209	place of employment, job	place of employment, job			N/a
2210	plaice (fish)	plaice (fish)			N/a
2211	plaintive	plaintive	sounding sorrowful, mournful or melancholic		N/a
2212	plait, braid	plait, braid			Artifacts
2213	planet	planet	each of the seven major bodies which move relative to the fixed stars in the night sky—the Moon, Mercury, Venus, the Sun, Mars, Jupiter and Saturn		Natural objects
2214	plant (biol.)	plant (biol.)			Plants
2215	plant-louse ( Aphidae)	plant-louse ( Aphidae)			Animals
2216	plantain (Plantago)	plantain (Plantago)			Plants
2217	planting (in ground)	planting (in ground)	act of setting a plant in the ground for growth		N/a
2218	plastic	plastic	synthetic, solid, hydrocarbon-based polymer		Other physical
2219	platan	platan			Plants
2220	plate (a serving dish)	plate (a serving dish)	slightly curved but almost flat dish from which food is served or eaten		N/a
2221	plateau	plateau			Natural objects
2222	platinum	platinum	chemical element with atomic number 78 and symbol Pt; a dense, malleable, ductile, highly unreactive, silverish-white transition metal of great value		Artifacts
2223	playing cards	playing cards			Artifacts
2224	pleasant	pleasant			Evaluation
2225	pleasure	pleasure			Abstract entities
2226	Pleiades	Pleiades			N/a
2227	plot of land	plot of land			N/a
2228	plough, ard	plough, ard			Artifacts
2229	ploughing	ploughing	breaking of the ground into furrows (with a plough) for planting		N/a
2230	ploughshare	ploughshare	cutting edge of a plow, typically a metal blade		N/a
2231	plum	plum			Plants
2232	plum blossom	plum blossom			N/a
2233	pocket	pocket	None		Artifacts
2234	pockmarked	pockmarked	having pockmarks (marks or scars in the skin caused by a pock)		N/a
2235	pod	pod			Plants
2236	poet	poet			Human being
2237	poetry	poetry			Abstract entities
2238	poison	poison			Natural objects
2239	poisonous	poisonous			Non-physical
2240	poisonous	poisonous			Taste
2241	polar night	polar night	period of darkness that occurs in winter in polar regions north from the Arctic Circle and south from the Antarctic Circle, and during which the sun stays below the horizon		N/a
2242	pole (geographical)	pole (geographical)			N/a
2243	pole (long stick)	pole (long stick)	long and slender piece of metal or (especially) wood, used for various construction or support purposes		Artifacts
2244	Pole Star	Pole Star			Natural objects
2245	polecat, ferret (Mustela putorius)	polecat, ferret (Mustela putorius)			Animals
2246	police officer	police officer			N/a
2247	polite	polite			Non-physical
2248	political party	political party			Abstract entities
2249	pollen	pollen			Plants
2250	pomegranate	pomegranate			Plants
2251	pondweed	pondweed			N/a
2252	poor, needy	poor, needy	None		Non-physical
2253	poor, needy	poor, needy			Non-physical
2254	popcorn	popcorn	corn kernels popped after exposion to heat.		N/a
2255	pope	pope	head of the Roman Catholic Church		N/a
2256	poplar (Populus alba)	poplar (Populus alba)			Plants
2257	poppy (Papaver somniferum)	poppy (Papaver somniferum)			Plants
2258	porcelain	porcelain	hard white translucent ceramic, originally made by firing kaolin, quartz, and feldspar at high temperatures		N/a
2259	porcupine	porcupine	any of several rodents of either of the taxonomic families Hystricidae (Old World porcupines) or Erethizontidae (New World porcupines), both from the infraorder Hystricognathi, noted for their sharp spines or quills, which are raised when the animal is attacked or surprised		N/a
2260	pot	pot			Artifacts
2261	potato	potato			Plants
2262	pottery fragment	pottery fragment			Artifacts
2263	poverty	poverty			Abstract entities
2264	powder	powder	fine particles which are the result of reducing a dry substance by pounding, grinding, or triturating		N/a
2265	powdery mildew	powdery mildew	fungal disease of plants		N/a
2266	power, authority	power, authority			Abstract entities
2267	powerless	powerless			Evaluation
2268	prayer (text)	prayer (text)	specific words used for praying		Abstract entities
2269	precipice, abyss	precipice, abyss			Natural objects
2270	precipitous	precipitous	steep, like a precipice		N/a
2271	predator	predator			N/a
2272	pregnant	pregnant			Other physical
2273	present, gift	present, gift			Possession
2274	previous	previous			N/a
2275	price	price			Abstract entities
2276	prickly, thorned	prickly, thorned			N/a
2277	pride	pride			Abstract entities
2278	priest (Christianity)	priest (Christianity)			Human being
2279	priest's headgear	priest&#39;s headgear			N/a
2280	priest's wife	priest&#39;s wife			N/a
2281	prince	prince			N/a
2282	princess	princess			N/a
2283	prison	prison			Artifacts
2284	probably	probably	None		N/a
2285	problem (mathematics)	problem (mathematics)			N/a
2286	profession	profession			N/a
2287	profit, gain (n.)	profit, gain (n.)			Abstract entities
2288	profiteer	profiteer	one who makes an unreasonable profit not justified by cost or risk		N/a
2289	profound	profound	intellectually deep; entering far into subjects; reaching to the bottom of a matter, or of a branch of learning; thorough		N/a
2290	promise (n.)	promise (n.)	an oath or affirmation; a vow		Human being
2291	pronoun	pronoun	type of function word or expression that stands in for (expresses the same content as) another word, phrase, clause or sentence where the meaning is recoverable from the context		N/a
2292	propeller (of boat engine)	propeller (of boat engine)	mechanical device with evenly-shaped blades that turn on a shaft to push against water, used to propel a boat		N/a
2293	proper arrangement, order	proper arrangement, order			Abstract entities
2294	property, possessions	property, possessions			Artifacts
2295	prophet	prophet	one who speaks by divine inspiration		N/a
2296	prose	prose			Abstract entities
2297	prosperity	prosperity			N/a
2298	prostate	prostate	gland in male mammals surrounding the urethra just below the urinary bladder that controls the release of urine from the bladder and produces a secretion that is the fluid part of semen		N/a
2299	protection, patronage	protection, patronage			Abstract entities
2300	protégé	protégé			N/a
2301	protein	protein			N/a
2302	protrusion at the end of a key	protrusion at the end of a key			N/a
2303	proud	proud			Non-physical
2304	proverb	proverb			N/a
2305	puffball	puffball			N/a
2306	pumpkin	pumpkin			Plants
2307	pungent (odour)	pungent (odour)			Perception
2308	punishment	punishment			Abstract entities
2309	pupil (of an eye)	pupil (of an eye)			Body parts
2310	puppet, lay figure	puppet, lay figure			N/a
2311	puppy (of a dog)	puppy (of a dog)			Animals
2312	pure	pure			Other physical
2313	purgative (medicine)	purgative (medicine)			N/a
2314	pus	pus			Physiology
2315	push button	push button			Artifacts
2316	pyrite	pyrite	common mineral iron disulfide (FeS2), of a pale brass-yellow color and brilliant metallic luster		N/a
2317	quantity	quantity	fundamental, generic term used when referring to the measurement (count, amount) of a scalar, vector, number of items or to some other way of denominating the value of a collection or group of items		Phasal
2318	quarrel	quarrel			N/a
2319	queen	queen	female monarch		N/a
2320	queen (bee)	queen (bee)	reproductive female insect in a beehive		Animals
2321	queen (playing card)	queen (playing card)	playing card with a depiction of a queen on it, generally ranking next below the king and above the jack in a given suit		N/a
2322	queen (termites and ants)	queen (termites and ants)	reproductive female of social insects		N/a
2323	queen, princess	queen, princess			N/a
2324	queue	queue	line of people, vehicles or other objects, in which one at the front end is dealt with first, the one behind is dealt with next, and so on, and which newcomers join at the opposite end (the back)		Abstract entities
2325	quick	quick	of a process taking place at high speed		Other physical
2326	quiet (vs. loud)	quiet (vs. loud)			Sound
2327	quince	quince	pear-shaped fruit of a small tree of the rose family, Cydonia oblonga		Plants
2328	quinsy	quinsy			Physiology
2329	quite, rather	quite, rather			N/a
2330	quiver	quiver			N/a
2331	quotation mark	quotation mark	sign used to denote a quotation in writing		N/a
2332	ready meal	&lt;ready meal&gt;			N/a
2333	religious festival	&lt;religious festival&gt;	festival for a particular deity. saint or religious event		N/a
2334	rural foot-wear	&lt;rural foot-wear&gt;			Artifacts
2335	rabid	rabid	affected with rabies		Other physical
2336	raccoon	raccoon	nocturnal omnivore native to North America, typically with a mixture of gray, brown, and black fur, a mask-like marking around the eyes and a striped tail; Procyon lotor		N/a
2337	race, ethnos	race, ethnos			N/a
2338	radiointerference	radiointerference	distortion on a broadcast signal due to atmospheric or other effects		Interpersonal relations
2339	radish	radish	Raphanus sativus var. radicula		N/a
2340	radius (bone)	radius (bone)	long bone in the forearm, on the side of the thumb		N/a
2341	raft	raft	flat-bottomed craft usually made of logs able to float on water, used for transport		N/a
2342	rag, duster	rag, duster	None		Artifacts
2343	railcar	railcar	unpowered unit in a railroad train		N/a
2344	rain	rain	water falling from a cloud		Natural objects
2345	rainbow	rainbow	multicoloured arch in the sky, produced by prismatic refraction of light within droplets of rain in the air		Natural objects
2346	rainbow smelt	rainbow smelt	fish Osmerus mordax		N/a
2347	raisin	raisin	dried grape		N/a
2348	rake	rake	garden tool with a row of pointed teeth fixed to a long handle, used for collecting debris, grass, etc., for flattening the ground, or for loosening soil		N/a
2349	ram	ram	male sheep		Animals
2350	Ranunculus	Ranunculus			N/a
2351	rapids	rapids	rough section of a river or stream which is difficult to navigate due to the swift and turbulent motion of the water		Natural objects
2352	rare	rare	very uncommon; scarce		Time
2353	rash, eruption	rash, eruption			Physiology
2354	raspberry	raspberry	plant Rubus idaeus		Plants
2355	rat	rat	rodent belonging to the genus Rattus		Animals
2356	rather (preference)	rather (preference)			N/a
2357	raven	raven	bird Corvus corax		Animals
2358	ravine	ravine	deep narrow valley or gorge in the earth&#39;s surface		Natural objects
2359	raw	raw			Other physical
2360	raw	raw			Other physical
2361	raw material	raw material			N/a
2362	ray	ray	beam of light		Natural objects
2363	ready	ready			Non-physical
2364	rear	rear	being behind, or in the hindmost part; hindmost		N/a
2365	rear end	rear end			N/a
2366	recent	recent			Non-physical
2367	recently	recently			Time
2368	red	red			Light and Colour
2369	red panda	red panda	omnivorous mammal, Ailurus fulgens, native to the Himalayas and eastern Asia, which has dark red fur and a ringed tail		N/a
2370	redfin dace	redfin dace	fish Tribolodon		N/a
2371	reed	reed			N/a
2372	reed (in loom)	reed (in loom)	comb-like part of a beater for beating the weft when weaving		N/a
2373	reflection (in the mirror, water)	reflection (in the mirror, water)	image that appears on a smooth, shiny surface due to the refraction of light rays		N/a
2374	region	region	any considerable and connected part of a space or surface; specifically, a tract of land or sea of considerable but indefinite extent; a country; a district		N/a
2375	reindeer	reindeer	arctic and subarctic-dwelling deer of the species Rangifer tarandus		N/a
2376	reindeer calf	reindeer calf			N/a
2377	relation, connection	relation, connection			N/a
2378	relative (n.)	relative (n.)			Human being
2379	reliable, trustworthy	reliable, trustworthy			N/a
2380	remembrance	remembrance	act of remembering; a holding in mind, or bringing to mind; recollection		N/a
2381	remote area	remote area			N/a
2382	reputation	reputation			N/a
2383	resentment, offense	resentment, offense	displeasure stemming from belief that one has been wronged or betrayed by others		N/a
2384	resin, tar	resin, tar	None		Natural objects
2385	respect (n.)	respect (n.)			Abstract entities
2386	respected, venerable	respected, venerable	None		Non-physical
2387	rest (n.)	rest (n.)			N/a
2388	result, outcome	result, outcome			Abstract entities
2389	resurrection	resurrection			N/a
2390	retina	retina	thin layer of cells at the back of the eyeball that contains rods and cones sensitive to light, which trigger nerve impulses that pass via the optic nerve to the brain		N/a
2391	revenge	revenge			Abstract entities
2392	rheumatism	rheumatism			Abstract entities
2393	rhinoceros	rhinoceros	any of several large herbivorous ungulates native to Africa and Asia of the five extant species in the three extant genera in the family Rhinocerotidae, with thick, gray skin and one or two horns on their snouts		Animals
2394	rhinoceros	rhinoceros			Animals
2395	rhombus	rhombus	parallelogram having all sides of equal length		N/a
2396	rhubarb	rhubarb	plant of the genus Rheum, especially Rheum rhabarbarum, having large leaves and long green or reddish acidic leafstalks that are edible, in particular when cooked		N/a
2397	rib	rib	any of a series of long curved bones occurring in 12 pairs in humans and other animals and extending from the spine to or toward the sternum.		Body parts
2398	rib (part of a ship’s framework)	rib (part of a ship’s framework)	any of several curved members attached to a ship&#39;s keel and extending upward and outward to form the framework of the hull		N/a
2399	rice	rice	cereal plant, Oryza sativa of the grass family whose seeds are used as food		Natural objects
2400	rich	rich			Non-physical
2401	riddle	riddle			N/a
2402	ridgepole	ridgepole	beam along the ridge of a roof to which the rafters are attached		N/a
2403	right	right	correct		N/a
2404	right (political)	right (political)	opposing political and social equality, especially conservative, traditional, and/or reactionary politics		N/a
2405	right (vs. left)	right (vs. left)	dexter; designating the side of the body which is positioned to the east if one is facing north		Other physical
2406	right side	right side			Space
2407	ring finger	ring finger	finger between middle finger and little finger		N/a
2408	river	river	large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water, such as an ocean or in an inland sea		Natural objects
2409	river-bed	river-bed	path where a river runs, or where a river once ran; the bottom earthen part of a river, not including the riverbanks		Natural objects
2410	road	road			Space
2411	roasted	roasted			N/a
2412	robbery	robbery			Abstract entities
2413	rock, crag, cliff	rock, crag, cliff			Natural objects
2414	rodent	rodent	mammal of the order Rodentia, characterized by long incisors that grow continuously and are worn down by gnawing		N/a
2415	rolling-pin	rolling-pin			Artifacts
2416	Romani	Romani	member of the Romani people, or one of the sub-groups (Roma, Sinti, Romanichal, etc)		Human being
2417	roof	roof			N/a
2418	rook	rook	bird Corvus frugilegus		Human being
2419	rook (chess)	rook (chess)			N/a
2420	room	room			Artifacts
2421	rooster	rooster	male domestic chicken		Animals
2422	root (arithmetic)	root (arithmetic)	number which, when raised to a specified power, yields the specified number		N/a
2423	root (of a plant)	root (of a plant)	part of a plant, generally underground, that anchors and supports the plant body, absorbs and stores water and nutrients		Plants
2424	root (of a word)	root (of a word)	primary lexical unit of a word, which carries the most significant aspects of semantic content and cannot be reduced into smaller constituents		N/a
2425	root of equation	root of equation	number whose substitution into an equation instead of a variable (usually x ) gives the same expression values to the right and left of the equal sign		N/a
2426	root of tooth	root of tooth	part of a tooth extending into the bone holding the tooth in place		N/a
2427	root vegetable	root vegetable	root of a plant used as an edible vegetable, such as the carrot		N/a
2428	rope, cord	rope, cord	thick strings, yarn, monofilaments, metal wires, or strands of other cordage that are twisted together to form a stronger line		Artifacts
2429	rose	rose	shrub of the genus Rosa, with red, pink, white or yellow flowers. A flower of this shrub		N/a
2430	rose apple (Syzygium)	rose apple (Syzygium)	various Syzygium species or their fruit, especially: Syzygium aqueum, the watery rose apple; Syzygium jambos, the jambu fruit; Syzygium malaccense, the Malay rose apple; Syzygium samarangense, the Semarang rose-apple or wax jambu.		N/a
2431	rose chafer	rose chafer	beetle Cetonia aurata		N/a
2432	rotten	rotten			Other physical
2433	rough wool	rough wool			N/a
2434	rough, uneven	rough, uneven			Other physical
2435	round (adj.)	round (adj.)			Other physical
2436	round object	round object			N/a
2437	rowan	rowan			Plants
2438	rubber	rubber			N/a
2439	ruby (stone)	ruby (stone)	clear, deep, red variety of corundum, valued as a precious stone		Natural objects
2440	rudder (of a boat)	rudder (of a boat)			Artifacts
2441	rude, impolite	rude, impolite			Evaluation
2442	ruff	ruff	circular frill or ruffle on a garment, especially a starched, fluted frill at the neck		N/a
2443	ruff (bird)	ruff (bird)	Philomachus pugnax		N/a
2444	ruff (fish)	ruff (fish)	small freshwater fish Gymnocephalus cernua which has spiny fins		Animals
2445	rule, regulations	rule, regulations			Abstract entities
2446	rumour	rumour	statement or claim of questionable accuracy, from no known reliable source, usually spread by word of mouth		Abstract entities
2447	runner	runner	one who runs		N/a
2448	rural	rural			Non-physical
2449	rush (plant)	rush (plant)			Plants
2450	Russian	Russian	ethnic Russian: a member of the East Slavic ethnic group which is native to, and constitutes the majority of the population of, Russia		N/a
2451	Russian desman	Russian desman	mammal Desmana moschata		N/a
2452	rust (n.)	rust (n.)	deteriorated state of iron or steel as a result of moisture and oxidation		Natural objects
2453	rust (plant disease)	rust (plant disease)	fungal disease of plants		N/a
2454	rusty	rusty	marked or corroded by rust		Other physical
2455	rut	rut	sexual desire of mammals during the mating season		N/a
2456	rye	rye	grain used extensively in Europe for making bread, beer, and (now generally) for animal fodder. The grass Secale cereale from which the grain is obtained.		N/a
2457	rye bread	rye bread	bread made partly or entirely with rye flour		N/a
2458	salmon	&lt;salmon&gt;	one of several species of fish of the Salmoninae subfamily		Animals
2459	small artifact	&lt;small artifact&gt;			N/a
2460	small insect	&lt;small insect&gt;	any small insect		Animals
2461	sturgeon	&lt;sturgeon&gt;	any marine or freshwater fish of the family Acipenseridae		Animals
2462	swimming bird	&lt;swimming bird&gt;	any swimming bird		Animals
2463	sabbath	sabbath			N/a
2464	sable	sable	Martes zibellina, small carnivorous mammal of the Old World that resembles a weasel		N/a
2465	sabrefish	sabrefish	fish Pelecus cultratus		Animals
2466	sack, bag	sack, bag			Artifacts
2467	sacred, holy	sacred, holy	None		N/a
2468	sacrifice	sacrifice	offering of anything to a god; a consecratory rite		N/a
2469	sacrum (bone)	sacrum (bone)	large triangular bone at the base of the spine, located between the two ilia (wings of the pelvis) and formed from vertebrae that fuse in adulthood		N/a
2470	sad	sad			Non-physical
2471	saddle	saddle	seat for a rider placed on the back of a horse or other animal		Artifacts
2472	saddleback	saddleback	saddle-shaped ridge forming a shallow pass between two peaks		Natural objects
2473	sadness	sadness			N/a
2474	safety	safety			N/a
2475	saffron	saffron	plant Crocus sativus		Plants
2476	Sagittarius	Sagittarius	constellation of the zodiac supposedly shaped like a centaur who is an archer		N/a
2477	saiga antelope	saiga antelope	Saiga tatarica		N/a
